Scan_Point	Freq (Hz)	Pout (DBM)
1	3000000000	-56.1447
2	3000000000	-56.2012
3	3000000000	-56.2491
4	3000000000	-56.3099
5	3000000000	-56.3688
6	3000000000	-56.4179
7	3000000000	-56.4676
8	3000000000	-56.5041
9	3000000000	-56.5291
10	3000000000	-56.5563
11	3000000000	-56.591
12	3000000000	-56.5956
13	3000000000	-56.602
14	3000000000	-56.6011
15	3000000000	-56.6031
16	3000000000	-56.6124
17	3000000000	-56.5964
18	3000000000	-56.5771
19	3000000000	-56.5639
20	3000000000	-56.5549
21	3000000000	-56.5224
22	3000000000	-56.4854
23	3000000000	-56.4562
24	3000000000	-56.4016
25	3000000000	-56.359
26	3000000000	-56.3315
27	3000000000	-56.2773
28	3000000000	-56.2306
29	3000000000	-56.1883
30	3000000000	-56.1371
31	3000000000	-56.0755
32	3000000000	-56.0239
33	3000000000	-55.9852
34	3000000000	-55.9303
35	3000000000	-55.8647
36	3000000000	-55.8213
37	3000000000	-55.7824
38	3000000000	-55.726
39	3000000000	-55.6759
40	3000000000	-55.6317
41	3000000000	-55.5852
42	3000000000	-55.5437
43	3000000000	-55.5019
44	3000000000	-55.4825
45	3000000000	-55.4372
46	3000000000	-55.3914
47	3000000000	-55.3601
48	3000000000	-55.3247
49	3000000000	-55.308
50	3000000000	-55.2791
51	3000000000	-55.2589
52	3000000000	-55.2308
53	3000000000	-55.2241
54	3000000000	-55.203
55	3000000000	-55.1834
56	3000000000	-55.1643
57	3000000000	-55.1692
58	3000000000	-55.1575
59	3000000000	-55.1478
60	3000000000	-55.1482
61	3000000000	-55.152
62	3000000000	-55.1556
63	3000000000	-55.1628
64	3000000000	-55.1712
65	3000000000	-55.1866
66	3000000000	-55.1987
67	3000000000	-55.2143
68	3000000000	-55.2322
69	3000000000	-55.2571
70	3000000000	-55.2658
71	3000000000	-55.3029
72	3000000000	-55.3133
73	3000000000	-55.3528
74	3000000000	-55.3778
75	3000000000	-55.4187
76	3000000000	-55.4358
77	3000000000	-55.4878
78	3000000000	-55.5338
79	3000000000	-55.5607
80	3000000000	-55.5951
81	3000000000	-55.6432
82	3000000000	-55.6885
83	3000000000	-55.7287
84	3000000000	-55.7894
85	3000000000	-55.8364
86	3000000000	-55.8793
87	3000000000	-55.9358
88	3000000000	-55.9833
89	3000000000	-56.0348
90	3000000000	-56.0935
91	3000000000	-56.1348
92	3000000000	-56.2004
93	3000000000	-56.2632
94	3000000000	-56.3107
95	3000000000	-56.371
96	3000000000	-56.4353
97	3000000000	-56.4852
98	3000000000	-56.5548
99	3000000000	-56.6165
100	3000000000	-56.6958
101	3000000000	-56.7403
102	3000000000	-56.797
103	3000000000	-56.8456
104	3000000000	-56.9137
105	3000000000	-56.982
106	3000000000	-57.0522
107	3000000000	-57.1177
