Scan_Point	Freq (Hz)	Pout (DBM)
1	9000000000	-89.8294
2	9000000000	-90.7382
3	9000000000	-91.7083
4	9000000000	-92.1309
5	9000000000	-93.1788
6	9000000000	-94.1033
7	9000000000	-94.2546
8	9000000000	-93.9111
9	9000000000	-93.4276
10	9000000000	-93.5338
11	9000000000	-93.3947
12	9000000000	-92.1655
13	9000000000	-91.4476
14	9000000000	-91.3809
15	9000000000	-90.9902
16	9000000000	-90.0993
17	9000000000	-89.9907
18	9000000000	-89.8509
19	9000000000	-89.2482
20	9000000000	-89.0786
21	9000000000	-89.0038
22	9000000000	-88.8626
23	9000000000	-89.0315
24	9000000000	-88.7939
25	9000000000	-88.6862
26	9000000000	-88.6719
27	9000000000	-88.4408
28	9000000000	-88.5994
29	9000000000	-88.2092
30	9000000000	-88.0517
31	9000000000	-88.3223
32	9000000000	-88.285
33	9000000000	-88.3078
34	9000000000	-88.5602
35	9000000000	-87.7618
36	9000000000	-88.0187
37	9000000000	-87.5838
38	9000000000	-87.6676
39	9000000000	-87.5171
40	9000000000	-87.6822
41	9000000000	-87.4435
42	9000000000	-87.3619
43	9000000000	-87.4265
44	9000000000	-87.8218
45	9000000000	-87.6136
46	9000000000	-87.5154
47	9000000000	-87.7445
48	9000000000	-88.0297
49	9000000000	-87.6888
50	9000000000	-88.071
51	9000000000	-88.0649
52	9000000000	-88.3176
53	9000000000	-88.4008
54	9000000000	-88.5929
55	9000000000	-88.4529
56	9000000000	-88.7404
57	9000000000	-89.1119
58	9000000000	-88.5647
59	9000000000	-88.9951
60	9000000000	-89.0679
61	9000000000	-88.7251
62	9000000000	-88.3507
63	9000000000	-88.3326
64	9000000000	-88.0746
65	9000000000	-87.702
66	9000000000	-87.5395
67	9000000000	-87.3034
68	9000000000	-87.1842
69	9000000000	-87.0929
70	9000000000	-86.7418
71	9000000000	-86.2845
72	9000000000	-86.2211
73	9000000000	-86.1394
74	9000000000	-85.7085
75	9000000000	-85.6339
76	9000000000	-85.8966
