 Scan_Point	Freq (Hz)	Pout (DBM)
247	1800000000	-60.4661
248	1800000000	-60.5476
249	1800000000	-60.6543
250	1800000000	-60.7286
251	1800000000	-60.8242
252	1800000000	-60.9064
253	1800000000	-60.9906
254	1800000000	-61.1062
255	1800000000	-61.191
256	1800000000	-61.2944
257	1800000000	-61.3589
258	1800000000	-61.4667
259	1800000000	-61.5734
260	1800000000	-61.6423
261	1800000000	-61.7681
262	1800000000	-61.8456
263	1800000000	-61.9617
264	1800000000	-62.071
265	1800000000	-62.1578
266	1800000000	-62.2646
267	1800000000	-62.35
268	1800000000	-62.5045
269	1800000000	-62.5655
270	1800000000	-62.6826
271	1800000000	-62.7854
272	1800000000	-62.9087
273	1800000000	-62.9995
274	1800000000	-63.1055
275	1800000000	-63.2392
276	1800000000	-63.3412
277	1800000000	-63.46
278	1800000000	-63.5623
279	1800000000	-63.6746
280	1800000000	-63.8131
281	1800000000	-63.9375
282	1800000000	-64.0774
283	1800000000	-64.1755
284	1800000000	-64.3002
285	1800000000	-64.4122
286	1800000000	-64.5661
287	1800000000	-64.6743
288	1800000000	-64.8121
289	1800000000	-64.905
290	1800000000	-65.0773
291	1800000000	-65.1915
292	1800000000	-65.3242
293	1800000000	-65.4706
294	1800000000	-65.6082
295	1800000000	-65.7098
296	1800000000	-65.8909
297	1800000000	-66.0319
298	1800000000	-66.1549
299	1800000000	-66.3175
300	1800000000	-66.4654
301	1800000000	-66.6266
302	1800000000	-66.7551
303	1800000000	-66.9613
304	1800000000	-67.1147
305	1800000000	-67.2937
306	1800000000	-67.4702
307	1800000000	-67.6003
308	1800000000	-67.7835
309	1800000000	-67.9814
310	1800000000	-68.1848
311	1800000000	-68.3297
312	1800000000	-68.542
313	1800000000	-68.767
314	1800000000	-68.8608
315	1800000000	-69.1018
316	1800000000	-69.3087
317	1800000000	-69.4982
318	1800000000	-69.6663
319	1800000000	-69.8532
320	1800000000	-70.134
321	1800000000	-70.3251
322	1800000000	-70.5203
323	1800000000	-70.7989
324	1800000000	-71.092
325	1800000000	-71.3024
326	1800000000	-71.5429
327	1800000000	-71.7928
328	1800000000	-72.0924
329	1800000000	-72.4047
330	1800000000	-72.5897
331	1800000000	-72.8676
332	1800000000	-73.1954
333	1800000000	-73.4332
334	1800000000	-73.8126
335	1800000000	-74.2088
336	1800000000	-74.4973
337	1800000000	-74.9261
338	1800000000	-75.1897
339	1800000000	-75.5107
340	1800000000	-75.9637
341	1800000000	-76.4722
342	1800000000	-76.7637
343	1800000000	-77.2457
344	1800000000	-77.7615
345	1800000000	-78.1211
346	1800000000	-78.799
347	1800000000	-79.2517
348	1800000000	-79.9255
349	1800000000	-80.5203
350	1800000000	-81.0473
351	1800000000	-81.7619
352	1800000000	-82.4215
353	1800000000	-83.3108
354	1800000000	-84.0917
355	1800000000	-84.8848
356	1800000000	-86.2139
357	1800000000	-87.0959
358	1800000000	-87.8585
359	1800000000	-89.0431
360	1800000000	-89.1621
361	1800000000	-89.6141
362	1800000000	-89.6306
363	1800000000	-89.2955
364	1800000000	-88.3026
365	1800000000	-87.9018
366	1800000000	-86.6559
367	1800000000	-85.9276
368	1800000000	-84.804
369	1800000000	-83.9225
370	1800000000	-82.9897
371	1800000000	-82.1942
372	1800000000	-81.5138
373	1800000000	-80.8287
374	1800000000	-80.259
375	1800000000	-79.6416
376	1800000000	-79.0238
377	1800000000	-78.5516
378	1800000000	-78.2112
379	1800000000	-77.7116
380	1800000000	-77.1891
381	1800000000	-76.7618
382	1800000000	-76.3323
383	1800000000	-76.0611
384	1800000000	-75.6663
385	1800000000	-75.2246
386	1800000000	-74.9661
387	1800000000	-74.6487
388	1800000000	-74.3283
389	1800000000	-74.08
390	1800000000	-73.7579
391	1800000000	-73.3863
392	1800000000	-73.1559
393	1800000000	-72.8468
394	1800000000	-72.5641
395	1800000000	-72.2942
396	1800000000	-72.049
397	1800000000	-71.8217
398	1800000000	-71.5999
399	1800000000	-71.3382
400	1800000000	-71.1869
401	1800000000	-70.9695
402	1800000000	-70.7323
403	1800000000	-70.4829
404	1800000000	-70.2874
405	1800000000	-70.1469
406	1800000000	-69.9277
407	1800000000	-69.7364
408	1800000000	-69.5766
409	1800000000	-69.3753
410	1800000000	-69.2019
411	1800000000	-69.0309
412	1800000000	-68.8571
413	1800000000	-68.6828
414	1800000000	-68.4897
415	1800000000	-68.3082
416	1800000000	-68.2258
417	1800000000	-68.023
418	1800000000	-67.8486
419	1800000000	-67.6851
420	1800000000	-67.5993
421	1800000000	-67.4131
422	1800000000	-67.3011
423	1800000000	-67.1141
424	1800000000	-66.9607
425	1800000000	-66.8178
426	1800000000	-66.6426
427	1800000000	-66.5372
428	1800000000	-66.3898
429	1800000000	-66.2763
430	1800000000	-66.1588
431	1800000000	-66.034
432	1800000000	-65.9022
433	1800000000	-65.7366
434	1800000000	-65.6533
435	1800000000	-65.5021
436	1800000000	-65.3762
437	1800000000	-65.2707
438	1800000000	-65.1524
439	1800000000	-65.0347
440	1800000000	-64.9139
441	1800000000	-64.7938
442	1800000000	-64.684
443	1800000000	-64.5476
444	1800000000	-64.4889
445	1800000000	-64.3614
446	1800000000	-64.2368
447	1800000000	-64.1282
448	1800000000	-64.0392
449	1800000000	-63.9245
450	1800000000	-63.8261
451	1800000000	-63.7267
452	1800000000	-63.6146
453	1800000000	-63.4974
454	1800000000	-63.377
455	1800000000	-63.3018
456	1800000000	-63.2288
457	1800000000	-63.0953
458	1800000000	-63.0236
459	1800000000	-62.927
460	1800000000	-62.8307
461	1800000000	-62.7417
462	1800000000	-62.623
463	1800000000	-62.5392
464	1800000000	-62.446
465	1800000000	-62.399
466	1800000000	-62.3072
467	1800000000	-62.2229
468	1800000000	-62.1079
469	1800000000	-62.0073
470	1800000000	-61.943
471	1800000000	-61.8446
472	1800000000	-61.7959
473	1800000000	-61.6869
474	1800000000	-61.6234
475	1800000000	-61.511
476	1800000000	-61.4319
477	1800000000	-61.3221
478	1800000000	-61.2592
479	1800000000	-61.1871
480	1800000000	-61.0914
