Scan_Point	Freq (Hz)	Pout (DBM)
1	2400000000	-53.425
2	2400000000	-53.4202
3	2400000000	-53.4277
4	2400000000	-53.4399
5	2400000000	-53.4459
6	2400000000	-53.4559
7	2400000000	-53.4611
8	2400000000	-53.4698
9	2400000000	-53.4821
10	2400000000	-53.4954
11	2400000000	-53.5037
12	2400000000	-53.5122
13	2400000000	-53.5284
14	2400000000	-53.5458
15	2400000000	-53.5584
16	2400000000	-53.5799
17	2400000000	-53.6012
18	2400000000	-53.621
19	2400000000	-53.6392
20	2400000000	-53.6554
21	2400000000	-53.6762
22	2400000000	-53.7071
23	2400000000	-53.7217
24	2400000000	-53.7551
25	2400000000	-53.7894
26	2400000000	-53.8113
27	2400000000	-53.853
28	2400000000	-53.8775
29	2400000000	-53.9142
30	2400000000	-53.9653
31	2400000000	-53.9808
32	2400000000	-54.0217
33	2400000000	-54.0685
34	2400000000	-54.1089
35	2400000000	-54.1408
36	2400000000	-54.1816
37	2400000000	-54.2319
38	2400000000	-54.2831
39	2400000000	-54.3268
40	2400000000	-54.3824
41	2400000000	-54.4276
42	2400000000	-54.4701
43	2400000000	-54.5176
44	2400000000	-54.5881
45	2400000000	-54.6379
46	2400000000	-54.7006
47	2400000000	-54.7386
48	2400000000	-54.8139
49	2400000000	-54.8638
50	2400000000	-54.9341
51	2400000000	-55.0038
52	2400000000	-55.061
53	2400000000	-55.1337
54	2400000000	-55.2098
55	2400000000	-55.2725
56	2400000000	-55.3398
57	2400000000	-55.4061
58	2400000000	-55.4814
59	2400000000	-55.5682
60	2400000000	-55.6374
61	2400000000	-55.7068
62	2400000000	-55.7985
63	2400000000	-55.8644
64	2400000000	-55.9545
65	2400000000	-56.05
66	2400000000	-56.1155
67	2400000000	-56.2062
68	2400000000	-56.2944
69	2400000000	-56.3757
70	2400000000	-56.4629
71	2400000000	-56.56
72	2400000000	-56.6354
73	2400000000	-56.7453
74	2400000000	-56.8348
75	2400000000	-56.9332
76	2400000000	-57.0271
77	2400000000	-57.1377
78	2400000000	-57.2309
79	2400000000	-57.3345
80	2400000000	-57.4277
81	2400000000	-57.5534
82	2400000000	-57.6461
83	2400000000	-57.7463
84	2400000000	-57.8774
85	2400000000	-57.9803
86	2400000000	-58.0772
87	2400000000	-58.1971
88	2400000000	-58.3097
89	2400000000	-58.4419
90	2400000000	-58.5245
91	2400000000	-58.6468
92	2400000000	-58.7672
93	2400000000	-58.9028
94	2400000000	-59.0264
95	2400000000	-59.1248
96	2400000000	-59.2616
97	2400000000	-59.3833
98	2400000000	-59.5098
99	2400000000	-59.6324
100	2400000000	-59.771
101	2400000000	-59.8914
102	2400000000	-60.0106
103	2400000000	-60.1369
104	2400000000	-60.2705
105	2400000000	-60.4297
106	2400000000	-60.562
107	2400000000	-60.6755
108	2400000000	-60.8432
109	2400000000	-60.9772
110	2400000000	-61.0935
111	2400000000	-61.2413
112	2400000000	-61.3898
113	2400000000	-61.5182
114	2400000000	-61.663
115	2400000000	-61.7989
116	2400000000	-61.9599
117	2400000000	-62.0857
118	2400000000	-62.2596
119	2400000000	-62.4074
120	2400000000	-62.5355
121	2400000000	-62.6986
122	2400000000	-62.8439
123	2400000000	-63.0075
124	2400000000	-63.1518
125	2400000000	-63.3046
126	2400000000	-63.4557
127	2400000000	-63.6355
128	2400000000	-63.8063
129	2400000000	-63.9778
130	2400000000	-64.1047
131	2400000000	-64.2642
