Scan_Point	Freq (Hz)	Pout (DBM)
1	5000000000	-71.8322
2	5000000000	-71.8254
3	5000000000	-71.7648
4	5000000000	-71.6987
5	5000000000	-71.6097
6	5000000000	-71.5634
7	5000000000	-71.5721
8	5000000000	-71.5079
9	5000000000	-71.4451
10	5000000000	-71.4001
11	5000000000	-71.3134
12	5000000000	-71.1868
13	5000000000	-71.0675
14	5000000000	-71.0415
15	5000000000	-70.9766
16	5000000000	-70.917
17	5000000000	-70.8362
18	5000000000	-70.7595
19	5000000000	-70.6762
20	5000000000	-70.5522
21	5000000000	-70.5226
22	5000000000	-70.4949
23	5000000000	-70.4099
24	5000000000	-70.3672
25	5000000000	-70.3349
26	5000000000	-70.2924
27	5000000000	-70.2157
28	5000000000	-70.214
29	5000000000	-70.2062
30	5000000000	-70.1895
31	5000000000	-70.1935
32	5000000000	-70.268
33	5000000000	-70.2672
34	5000000000	-70.3122
35	5000000000	-70.3112
36	5000000000	-70.3233
37	5000000000	-70.4717
38	5000000000	-70.5708
39	5000000000	-70.5543
40	5000000000	-70.6524
41	5000000000	-70.8383
42	5000000000	-70.8821
43	5000000000	-71.0332
44	5000000000	-71.1889
45	5000000000	-71.3951
46	5000000000	-71.4494
47	5000000000	-71.6006
48	5000000000	-71.7539
49	5000000000	-72.0205
50	5000000000	-72.1625
51	5000000000	-72.3079
52	5000000000	-72.4332
53	5000000000	-72.7545
54	5000000000	-72.8299
55	5000000000	-73.0293
56	5000000000	-73.298
57	5000000000	-73.3725
58	5000000000	-73.7094
59	5000000000	-73.7555
60	5000000000	-73.9986
61	5000000000	-74.0483
62	5000000000	-74.1592
63	5000000000	-74.4189
64	5000000000	-74.3825
65	5000000000	-74.5011
66	5000000000	-74.5074
67	5000000000	-74.5899
68	5000000000	-74.6434
69	5000000000	-74.657
70	5000000000	-74.518
71	5000000000	-74.3964
72	5000000000	-74.2486
73	5000000000	-74.2701
74	5000000000	-74.0583
75	5000000000	-73.9935
76	5000000000	-73.741
77	5000000000	-73.5099
78	5000000000	-73.2559
79	5000000000	-73.0925
80	5000000000	-72.8734
81	5000000000	-72.6134
82	5000000000	-72.2793
83	5000000000	-72.1548
84	5000000000	-71.8837
85	5000000000	-71.6131
86	5000000000	-71.362
87	5000000000	-71.1284
88	5000000000	-70.8648
89	5000000000	-70.566
90	5000000000	-70.4099
91	5000000000	-70.1374
92	5000000000	-69.8694
93	5000000000	-69.6858
94	5000000000	-69.4395
95	5000000000	-69.238
96	5000000000	-69.0243
97	5000000000	-68.7899
98	5000000000	-68.5348
99	5000000000	-68.3931
100	5000000000	-68.1627
101	5000000000	-67.9302
102	5000000000	-67.7572
103	5000000000	-67.6242
104	5000000000	-67.3889
105	5000000000	-67.2412
106	5000000000	-67.0407
107	5000000000	-66.8832
108	5000000000	-66.7601
109	5000000000	-66.5811
110	5000000000	-66.4361
111	5000000000	-66.2821
112	5000000000	-66.1068
113	5000000000	-65.9953
114	5000000000	-65.8572
115	5000000000	-65.7213
116	5000000000	-65.5897
117	5000000000	-65.442
118	5000000000	-65.3237
119	5000000000	-65.1896
120	5000000000	-65.0925
121	5000000000	-64.9452
122	5000000000	-64.8287
123	5000000000	-64.7403
124	5000000000	-64.636
125	5000000000	-64.5446
126	5000000000	-64.4499
127	5000000000	-64.338
128	5000000000	-64.2427
129	5000000000	-64.1433
130	5000000000	-64.0637
131	5000000000	-64.0185
132	5000000000	-63.8872
133	5000000000	-63.8366
134	5000000000	-63.7786
135	5000000000	-63.6777
136	5000000000	-63.6069
137	5000000000	-63.5512
138	5000000000	-63.5027
139	5000000000	-63.4217
140	5000000000	-63.3531
141	5000000000	-63.3095
142	5000000000	-63.2624
143	5000000000	-63.2008
144	5000000000	-63.1592
145	5000000000	-63.1099
146	5000000000	-63.0945
147	5000000000	-63.0097
148	5000000000	-62.9874
149	5000000000	-62.9298
150	5000000000	-62.8834
151	5000000000	-62.896
152	5000000000	-62.8253
153	5000000000	-62.808
154	5000000000	-62.7712
155	5000000000	-62.7569
156	5000000000	-62.7387
157	5000000000	-62.6803
