Scan_Point	Freq (Hz)	Pout (DBM)
1	2400000000	-51.7727
2	2400000000	-51.7505
3	2400000000	-51.7322
4	2400000000	-51.7265
5	2400000000	-51.7022
6	2400000000	-51.6879
7	2400000000	-51.6759
8	2400000000	-51.6566
9	2400000000	-51.6351
10	2400000000	-51.6222
11	2400000000	-51.599
12	2400000000	-51.5762
13	2400000000	-51.5614
14	2400000000	-51.5393
15	2400000000	-51.5267
16	2400000000	-51.504
17	2400000000	-51.4853
18	2400000000	-51.4753
19	2400000000	-51.4657
20	2400000000	-51.453
21	2400000000	-51.431
22	2400000000	-51.4253
23	2400000000	-51.4085
24	2400000000	-51.4027
25	2400000000	-51.3963
26	2400000000	-51.3929
27	2400000000	-51.3817
28	2400000000	-51.3784
29	2400000000	-51.3707
30	2400000000	-51.3672
31	2400000000	-51.3663
32	2400000000	-51.3677
33	2400000000	-51.3625
34	2400000000	-51.363
35	2400000000	-51.369
36	2400000000	-51.3653
37	2400000000	-51.3701
38	2400000000	-51.373
39	2400000000	-51.3803
40	2400000000	-51.3873
41	2400000000	-51.3957
42	2400000000	-51.4097
43	2400000000	-51.4201
44	2400000000	-51.4258
45	2400000000	-51.4329
46	2400000000	-51.4501
47	2400000000	-51.4591
48	2400000000	-51.4736
49	2400000000	-51.4926
50	2400000000	-51.5021
51	2400000000	-51.5217
52	2400000000	-51.5373
53	2400000000	-51.5576
54	2400000000	-51.5808
55	2400000000	-51.5912
56	2400000000	-51.6152
57	2400000000	-51.63
58	2400000000	-51.6557
59	2400000000	-51.6733
60	2400000000	-51.6976
61	2400000000	-51.7147
62	2400000000	-51.7416
63	2400000000	-51.7642
64	2400000000	-51.8003
65	2400000000	-51.8121
66	2400000000	-51.8463
67	2400000000	-51.8579
68	2400000000	-51.8946
69	2400000000	-51.915
70	2400000000	-51.9395
71	2400000000	-51.9616
72	2400000000	-51.9871
73	2400000000	-52.0128
74	2400000000	-52.0375
75	2400000000	-52.0811
76	2400000000	-52.091
77	2400000000	-52.1278
78	2400000000	-52.1423
79	2400000000	-52.1841
80	2400000000	-52.1881
81	2400000000	-52.2218
82	2400000000	-52.2456
