Scan_Point	Freq (Hz)	Pout (DBM)
1	5000000000	-68.506
2	5000000000	-68.4692
3	5000000000	-68.4907
4	5000000000	-68.4838
5	5000000000	-68.5658
6	5000000000	-68.5552
7	5000000000	-68.5601
8	5000000000	-68.6142
9	5000000000	-68.6409
10	5000000000	-68.6796
11	5000000000	-68.7833
12	5000000000	-68.8568
13	5000000000	-68.9399
14	5000000000	-68.9381
15	5000000000	-69.0869
16	5000000000	-69.2019
17	5000000000	-69.2577
18	5000000000	-69.3901
19	5000000000	-69.483
20	5000000000	-69.6598
21	5000000000	-69.8218
22	5000000000	-69.9727
23	5000000000	-70.0839
24	5000000000	-70.2508
25	5000000000	-70.3889
26	5000000000	-70.5881
27	5000000000	-70.795
28	5000000000	-71.0269
29	5000000000	-71.1753
30	5000000000	-71.3878
31	5000000000	-71.717
32	5000000000	-71.876
33	5000000000	-72.1763
34	5000000000	-72.3761
35	5000000000	-72.6167
36	5000000000	-72.9172
37	5000000000	-73.1791
38	5000000000	-73.5447
39	5000000000	-73.7313
40	5000000000	-74.0662
41	5000000000	-74.3414
42	5000000000	-74.5624
43	5000000000	-75.0702
44	5000000000	-75.3239
45	5000000000	-75.499
46	5000000000	-75.9146
47	5000000000	-76.237
48	5000000000	-76.5071
49	5000000000	-76.8324
50	5000000000	-77.0525
51	5000000000	-77.296
52	5000000000	-77.3386
53	5000000000	-77.6946
54	5000000000	-77.5812
55	5000000000	-77.7966
56	5000000000	-77.7754
57	5000000000	-77.774
58	5000000000	-77.6488
59	5000000000	-77.612
60	5000000000	-77.5456
61	5000000000	-77.2795
62	5000000000	-77.053
63	5000000000	-76.7239
64	5000000000	-76.6352
65	5000000000	-76.3915
66	5000000000	-76.0883
67	5000000000	-75.8861
68	5000000000	-75.6706
69	5000000000	-75.2706
70	5000000000	-75.055
71	5000000000	-74.8254
72	5000000000	-74.5702
73	5000000000	-74.3198
74	5000000000	-74.0872
75	5000000000	-73.8516
76	5000000000	-73.6759
77	5000000000	-73.517
78	5000000000	-73.1941
79	5000000000	-72.9685
80	5000000000	-72.8039
81	5000000000	-72.5773
82	5000000000	-72.4016
83	5000000000	-72.2771
84	5000000000	-72.0015
85	5000000000	-71.917
86	5000000000	-71.8024
87	5000000000	-71.5566
88	5000000000	-71.434
89	5000000000	-71.3123
90	5000000000	-71.2007
91	5000000000	-71.0685
92	5000000000	-71.0471
93	5000000000	-70.863
94	5000000000	-70.8587
95	5000000000	-70.6157
96	5000000000	-70.5695
97	5000000000	-70.571
98	5000000000	-70.3419
99	5000000000	-70.3406
100	5000000000	-70.2767
