Scan_Point	Freq (Hz)	Pout (DBM)
1	1800000000	-50.9257
2	1800000000	-50.9151
3	1800000000	-51.0658
4	1800000000	-50.9285
5	1800000000	-50.9151
6	1800000000	-50.9104
7	1800000000	-50.9116
8	1800000000	-50.9129
9	1800000000	-50.909
10	1800000000	-50.9172
11	1800000000	-50.9089
12	1800000000	-50.9122
13	1800000000	-50.9174
14	1800000000	-50.9245
15	1800000000	-50.9254
16	1800000000	-50.9317
17	1800000000	-50.9311
18	1800000000	-50.9339
19	1800000000	-50.9379
20	1800000000	-50.9412
21	1800000000	-50.9409
22	1800000000	-50.9477
23	1800000000	-50.944
24	1800000000	-50.9508
25	1800000000	-50.9542
26	1800000000	-50.9513
27	1800000000	-50.9582
28	1800000000	-50.9591
29	1800000000	-50.9559
30	1800000000	-50.9553
31	1800000000	-50.9584
32	1800000000	-50.9626
33	1800000000	-50.9579
34	1800000000	-50.9643
35	1800000000	-50.9647
36	1800000000	-50.9585
37	1800000000	-50.9535
38	1800000000	-50.9616
39	1800000000	-50.9544
40	1800000000	-50.9515
41	1800000000	-50.9574
42	1800000000	-50.9638
43	1800000000	-50.9521
44	1800000000	-50.9603
45	1800000000	-50.9548
46	1800000000	-50.9556
47	1800000000	-50.8845
48	1800000000	-50.9512
49	1800000000	-50.9332
50	1800000000	-50.9487
51	1800000000	-50.8567
52	1800000000	-50.8467
53	1800000000	-50.8409
54	1800000000	-50.837
55	1800000000	-50.828
56	1800000000	-50.8206
57	1800000000	-50.8142
58	1800000000	-50.9343
59	1800000000	-50.8991
60	1800000000	-50.9009
61	1800000000	-50.7877
62	1800000000	-50.7874
63	1800000000	-50.7837
64	1800000000	-50.8014
65	1800000000	-50.816
66	1800000000	-50.8714
67	1800000000	-50.8587
68	1800000000	-50.8538
69	1800000000	-50.925
70	1800000000	-50.9258
71	1800000000	-50.9255
72	1800000000	-50.8989
73	1800000000	-50.9151
74	1800000000	-50.7437
75	1800000000	-50.8853
76	1800000000	-50.9299
77	1800000000	-50.9261
78	1800000000	-50.8664
79	1800000000	-50.7303
80	1800000000	-50.8021
81	1800000000	-50.7134
82	1800000000	-50.9289
83	1800000000	-50.9349
84	1800000000	-50.9373
85	1800000000	-50.948
86	1800000000	-50.8048
87	1800000000	-50.9442
88	1800000000	-50.7697
89	1800000000	-50.8861
90	1800000000	-50.9632
91	1800000000	-50.9222
92	1800000000	-50.7568
93	1800000000	-50.977
94	1800000000	-50.9895
95	1800000000	-50.9748
96	1800000000	-50.9814
97	1800000000	-50.8843
98	1800000000	-50.7479
99	1800000000	-50.9252
100	1800000000	-50.9161
