Scan_Point	Freq (Hz)	Pout (DBM)
1	3000000000	-55.4765
2	3000000000	-55.47
3	3000000000	-55.4691
4	3000000000	-55.4926
5	3000000000	-55.4901
6	3000000000	-55.499
7	3000000000	-55.5258
8	3000000000	-55.5397
9	3000000000	-55.5455
10	3000000000	-55.5592
11	3000000000	-55.5758
12	3000000000	-55.6011
13	3000000000	-55.6149
14	3000000000	-55.6369
15	3000000000	-55.6715
16	3000000000	-55.6794
17	3000000000	-55.7153
18	3000000000	-55.7493
19	3000000000	-55.7797
20	3000000000	-55.798
21	3000000000	-55.8396
22	3000000000	-55.8679
23	3000000000	-55.9196
24	3000000000	-55.9354
25	3000000000	-55.9911
26	3000000000	-56.0333
27	3000000000	-56.066
28	3000000000	-56.1113
29	3000000000	-56.1538
30	3000000000	-56.1985
31	3000000000	-56.2518
32	3000000000	-56.3071
33	3000000000	-56.3584
34	3000000000	-56.424
35	3000000000	-56.4769
36	3000000000	-56.5384
37	3000000000	-56.6048
38	3000000000	-56.6643
39	3000000000	-56.7331
40	3000000000	-56.7937
41	3000000000	-56.8697
42	3000000000	-56.9439
43	3000000000	-57.0128
44	3000000000	-57.0756
45	3000000000	-57.1485
46	3000000000	-57.225
47	3000000000	-57.3221
48	3000000000	-57.3958
49	3000000000	-57.4901
50	3000000000	-57.5713
51	3000000000	-57.65
52	3000000000	-57.7408
53	3000000000	-57.8237
54	3000000000	-57.9297
55	3000000000	-58.0379
56	3000000000	-58.1242
57	3000000000	-58.2177
58	3000000000	-58.3201
59	3000000000	-58.4352
60	3000000000	-58.53
61	3000000000	-58.6312
62	3000000000	-58.7406
63	3000000000	-58.8531
64	3000000000	-58.9508
65	3000000000	-59.0663
66	3000000000	-59.1925
67	3000000000	-59.2941
68	3000000000	-59.415
69	3000000000	-59.5123
70	3000000000	-59.6434
71	3000000000	-59.7764
72	3000000000	-59.9079
73	3000000000	-60.0236
74	3000000000	-60.1462
75	3000000000	-60.2652
76	3000000000	-60.3972
77	3000000000	-60.5343
78	3000000000	-60.6829
79	3000000000	-60.7879
80	3000000000	-60.9563
81	3000000000	-61.0588
82	3000000000	-61.1822
83	3000000000	-61.3457
84	3000000000	-61.4602
85	3000000000	-61.6254
86	3000000000	-61.7692
87	3000000000	-61.8949
88	3000000000	-62.0353
89	3000000000	-62.2071
90	3000000000	-62.3207
91	3000000000	-62.5013
92	3000000000	-62.6198
93	3000000000	-62.7771
94	3000000000	-62.8993
95	3000000000	-63.0736
96	3000000000	-63.203
97	3000000000	-63.3428
98	3000000000	-63.4947
99	3000000000	-63.6485
100	3000000000	-63.7942
101	3000000000	-63.9331
102	3000000000	-64.077
103	3000000000	-64.2206
104	3000000000	-64.4139
105	3000000000	-64.5542
106	3000000000	-64.6918
107	3000000000	-64.8579
108	3000000000	-64.9967
109	3000000000	-65.1504
110	3000000000	-65.3287
